Departamento,Año Desmovilización,Número Desmovilizados
Valle del Cauca,"2,001",2
Bogotá D.C.,"2,002",2
Casanare,"2,002",3
Meta,"2,002",1
Tolima,"2,002",2
Valle del Cauca,"2,002",1
<Por Asignar>,"2,003","1,175"
Amazonas,"2,003",2
Antioquia,"2,003",936
Arauca,"2,003",6
Atlántico,"2,003",22
Bogotá D.C.,"2,003",555
Bolívar,"2,003",19
Boyacá,"2,003",27
Caldas,"2,003",14
Caquetá,"2,003",28
Casanare,"2,003",33
Cauca,"2,003",24
Cesar,"2,003",29
Chocó,"2,003",13
Córdoba,"2,003",9
Cundinamarca,"2,003",145
Guainía,"2,003",1
Guaviare,"2,003",2
Huila,"2,003",47
La Guajira,"2,003",5
Magdalena,"2,003",10
Meta,"2,003",91
Nariño,"2,003",8
Norte de Santander,"2,003",36
Putumayo,"2,003",12
Quindio,"2,003",24
Risaralda,"2,003",30
Santander,"2,003",95
Sucre,"2,003",5
Tolima,"2,003",47
Valle del Cauca,"2,003",59
Vaupés,"2,003",1
Vichada,"2,003",2
<Por Asignar>,"2,004","1,126"
Antioquia,"2,004",934
Arauca,"2,004",14
Atlántico,"2,004",65
Bogotá D.C.,"2,004",760
Bolívar,"2,004",112
Boyacá,"2,004",47
Caldas,"2,004",20
Caquetá,"2,004",26
Casanare,"2,004",80
Cauca,"2,004",54
Cesar,"2,004",108
Chocó,"2,004",39
Córdoba,"2,004",378
Cundinamarca,"2,004",239
Guainía,"2,004",1
Guaviare,"2,004",5
Huila,"2,004",69
La Guajira,"2,004",10
Magdalena,"2,004",74
Meta,"2,004",149
Nariño,"2,004",16
Norte de Santander,"2,004",489
Putumayo,"2,004",17
Quindio,"2,004",37
Risaralda,"2,004",44
Santander,"2,004",131
Sucre,"2,004",94
Tolima,"2,004",80
Valle del Cauca,"2,004",353
Vaupés,"2,004",1
Vichada,"2,004",4
<Por Asignar>,"2,005","1,143"
Antioquia,"2,005","4,385"
Arauca,"2,005",52
Archipiélago de San Andrés. Providencia y Santa Catalina,"2,005",1
Atlántico,"2,005",286
Bogotá D.C.,"2,005",994
Bolívar,"2,005",396
Boyacá,"2,005",79
Caldas,"2,005",134
Caquetá,"2,005",58
Casanare,"2,005",354
Cauca,"2,005",68
Cesar,"2,005",197
Chocó,"2,005",116
Córdoba,"2,005","1,631"
Cundinamarca,"2,005",288
Guainía,"2,005",2
Guaviare,"2,005",11
Huila,"2,005",91
La Guajira,"2,005",27
Magdalena,"2,005",118
Meta,"2,005",490
Nariño,"2,005",156
Norte de Santander,"2,005",222
Putumayo,"2,005",25
Quindio,"2,005",98
Risaralda,"2,005",409
Santander,"2,005",378
Sucre,"2,005",359
Tolima,"2,005",278
Valle del Cauca,"2,005",374
Vaupés,"2,005",2
Vichada,"2,005",13
<Por Asignar>,"2,006","1,214"
Amazonas,"2,006",13
Antioquia,"2,006","4,443"
Arauca,"2,006",30
Atlántico,"2,006",934
Bogotá D.C.,"2,006","1,274"
Bolívar,"2,006",587
Boyacá,"2,006",543
Caldas,"2,006",261
Caquetá,"2,006",184
Casanare,"2,006",163
Cauca,"2,006",140
Cesar,"2,006","2,534"
Chocó,"2,006",296
Córdoba,"2,006","1,285"
Cundinamarca,"2,006",492
Guainía,"2,006",4
Guaviare,"2,006",45
Huila,"2,006",201
La Guajira,"2,006",309
Magdalena,"2,006","1,802"
Meta,"2,006",887
Nariño,"2,006",90
Norte de Santander,"2,006",331
Putumayo,"2,006",124
Quindio,"2,006",92
Risaralda,"2,006",230
Santander,"2,006","1,446"
Sucre,"2,006",310
Tolima,"2,006",304
Valle del Cauca,"2,006",411
Vaupés,"2,006",3
Vichada,"2,006",8
<Por Asignar>,"2,007",334
Amazonas,"2,007",2
Antioquia,"2,007",297
Arauca,"2,007",25
Atlántico,"2,007",32
Bogotá D.C.,"2,007",497
Bolívar,"2,007",58
Boyacá,"2,007",31
Caldas,"2,007",33
Caquetá,"2,007",114
Casanare,"2,007",48
Cauca,"2,007",103
Cesar,"2,007",44
Chocó,"2,007",10
Córdoba,"2,007",6
Cundinamarca,"2,007",104
Guainía,"2,007",5
Guaviare,"2,007",8
Huila,"2,007",141
La Guajira,"2,007",11
Magdalena,"2,007",10
Meta,"2,007",158
Nariño,"2,007",37
Norte de Santander,"2,007",39
Putumayo,"2,007",41
Quindio,"2,007",26
Risaralda,"2,007",73
Santander,"2,007",74
Sucre,"2,007",51
Tolima,"2,007",136
Valle del Cauca,"2,007",392
Vaupés,"2,007",2
Vichada,"2,007",8
<Por Asignar>,"2,008",357
Amazonas,"2,008",3
Antioquia,"2,008",263
Arauca,"2,008",19
Atlántico,"2,008",40
Bogotá D.C.,"2,008",351
Bolívar,"2,008",71
Boyacá,"2,008",38
Caldas,"2,008",68
Caquetá,"2,008",119
Casanare,"2,008",53
Cauca,"2,008",190
Cesar,"2,008",42
Chocó,"2,008",33
Córdoba,"2,008",6
Cundinamarca,"2,008",107
Guainía,"2,008",10
Guaviare,"2,008",15
Huila,"2,008",133
La Guajira,"2,008",9
Magdalena,"2,008",11
Meta,"2,008",376
Nariño,"2,008",32
Norte de Santander,"2,008",31
Putumayo,"2,008",60
Quindio,"2,008",29
Risaralda,"2,008",76
Santander,"2,008",63
Sucre,"2,008",47
Tolima,"2,008",119
Valle del Cauca,"2,008",220
Vaupés,"2,008",3
Vichada,"2,008",14
<Por Asignar>,"2,009",385
Amazonas,"2,009",2
Antioquia,"2,009",257
Arauca,"2,009",15
Atlántico,"2,009",28
Bogotá D.C.,"2,009",370
Bolívar,"2,009",41
Boyacá,"2,009",42
Caldas,"2,009",33
Caquetá,"2,009",121
Casanare,"2,009",67
Cauca,"2,009",84
Cesar,"2,009",42
Chocó,"2,009",29
Córdoba,"2,009",20
Cundinamarca,"2,009",114
Guainía,"2,009",8
Guaviare,"2,009",16
Huila,"2,009",170
La Guajira,"2,009",7
Magdalena,"2,009",7
Meta,"2,009",206
Nariño,"2,009",45
Norte de Santander,"2,009",35
Putumayo,"2,009",67
Quindio,"2,009",42
Risaralda,"2,009",52
Santander,"2,009",54
Sucre,"2,009",22
Tolima,"2,009",126
Valle del Cauca,"2,009",287
Vaupés,"2,009",6
Vichada,"2,009",5
<Por Asignar>,"2,010",235
Amazonas,"2,010",1
Antioquia,"2,010",213
Arauca,"2,010",15
Atlántico,"2,010",16
Bogotá D.C.,"2,010",324
Bolívar,"2,010",21
Boyacá,"2,010",11
Caldas,"2,010",16
Caquetá,"2,010",148
Casanare,"2,010",41
Cauca,"2,010",55
Cesar,"2,010",17
Chocó,"2,010",26
Córdoba,"2,010",14
Cundinamarca,"2,010",95
Guainía,"2,010",5
Guaviare,"2,010",18
Huila,"2,010",118
La Guajira,"2,010",7
Magdalena,"2,010",9
Meta,"2,010",234
Nariño,"2,010",32
Norte de Santander,"2,010",44
Putumayo,"2,010",88
Quindio,"2,010",28
Risaralda,"2,010",46
Santander,"2,010",41
Sucre,"2,010",12
Tolima,"2,010",100
Valle del Cauca,"2,010",186
Vaupés,"2,010",9
Vichada,"2,010",4
<Por Asignar>,"2,011",158
Amazonas,"2,011",2
Antioquia,"2,011",115
Arauca,"2,011",15
Atlántico,"2,011",4
Bogotá D.C.,"2,011",143
Bolívar,"2,011",8
Boyacá,"2,011",11
Caldas,"2,011",13
Caquetá,"2,011",74
Casanare,"2,011",41
Cauca,"2,011",34
Cesar,"2,011",18
Chocó,"2,011",15
Córdoba,"2,011",15
Cundinamarca,"2,011",44
Guainía,"2,011",3
Guaviare,"2,011",23
Huila,"2,011",88
La Guajira,"2,011",4
Magdalena,"2,011",6
Meta,"2,011",195
Nariño,"2,011",20
Norte de Santander,"2,011",14
Putumayo,"2,011",29
Quindio,"2,011",26
Risaralda,"2,011",24
Santander,"2,011",27
Sucre,"2,011",13
Tolima,"2,011",45
Valle del Cauca,"2,011",121
Vaupés,"2,011",18
Vichada,"2,011",3
